Country;Notes;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Indonesia;62;7,7;7,9;8,9;9,2;10;10,1;11,5;12,5;14,3;15,8;4,7;5,4;5,3;4,2;6,2;9,5;10,7;9,4;11,2;14,2;13,5;13,7;19,1;23,6;26;33;26,9;29,2;28;33;27,9;30,1;34,3;31,9;36,5;40,2;42,5;52,8
Laos;§;...;...;...;...;22,7;23,3;24,5;21,3;15,7;13,1;6,4;2,9;2,5;2,3;2,1;1,9;2;2,1;2,3;2,5;2,7;2,3;2,4;3;3,1;3,5;...;...;...;...;...;...;...;...;...;...;...;...
Malaysia;63;51,7;59,8;64;86,9;95;100,8;108,4;121,8;117,6;99;53,5;75;67,6;83,2;94;118,1;113,1;122,1;125;148,7;161,7;142,4;135,7;162,3;153,3;164,3;161,6;146,4;132,3;109;105,6;98,4;100,1;107,8;106,5;112,4;123,9;137,9
Myanmar;§¶64;6,7;14,1;20,6;23,5;33,7;50;67,1;92,9;109;110,1;133,5;156,1;200,5;207,8;239,1;520,7;636,9;697,3;...;...;...;...;...;...;59,8;47,3;47;50,2;47,9;42,8;29,4;28,9;47,2;49,7;46,5;46,2;92,3;...
Philippines;65;15,8;15,8;15,3;14,3;16,6;17,6;20,4;24,4;26,3;21,6;16,4;17,5;16,6;13,9;14,6;15,5;14,5;15,7;18,1;22,3;24,7;22,6;25,6;27,7;29,2;33,4;30,1;31,9;31,4;35,7;37,8;38,7;42,1;49,2;46,9;44,9;47,6;54,8
Singapore;;429,2;488,3;602,9;654,5;732,9;758,7;831,3;1058,2;1140;1194,2;1156,9;1139,8;1085,1;1056,3;1090,4;1140,7;1219,5;1297,8;1347,6;1452,6;1584,1;1535,9;1612,3;1741;1750,5;1747,8;1769,2;1708,8;1776,5;1822,8;1885,9;1838,6;1724,2;1981,4;2167,5;2423,5;2636,7;2979,8
Thailand;§;34,4;36,3;40,8;47,1;52,8;55,4;62,4;65,6;66,2;54,1;34,5;33,2;30;27,2;27,9;29,1;29,9;28,4;31,8;40,1;54,2;63,9;76;75;78,1;79,8;79,7;77,2;78,7;86,4;93,5;100,1;101,9;99,2;84;80,1;77;83,5
East Timor;§66;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;...;...;...;8,8;17,8;24;23,2;34,9;24,6;18,7;29,7;27,6;25,3;31;21,5;20,5;16,3;26,7;29,3;29,3;32,5;40;31,2;34
Vietnam;§67;21;7,2;7,9;6,5;4,9;4,3;6,1;...;...;...;...;...;...;...;...;10,6;11,4;12,7;15,8;21,5;24,3;33,6;31,1;34,4;53,3;61,3;61,8;66,3;67,7;67,7;72;75;73,3;76,4;71,4;79,5;85,3;103,5
Kazakhstan;†;xxx;xxx;xxx;xxx;...;...;6,2;10,5;14,6;14,6;15,3;9,3;9,3;14,3;15,8;20,2;27;37,2;49,5;84,1;94,3;77;89,8;106,4;126,7;146,4;130,4;114;70,3;75;79,7;97,3;80,2;82,3;58,7;57,7;57,1;63,2
Kyrgyzstan;52;xxx;xxx;xxx;xxx;...;...;6,2;11;11,5;11,4;9;6,8;7,9;7,1;8,6;10,7;12,2;14,5;17,1;21,9;28;27,8;33,9;38;37,5;40,8;43,1;38,7;37,6;38,8;39,9;39,7;39;38,9;51,1;68,9;71,7;83
Tajikistan;§;xxx;xxx;xxx;xxx;0,2;4,1;2,5;1;2,2;3,1;3,7;2,4;1,7;2;4;5,3;6,7;...;...;...;7,2;6,4;7,1;9,2;9,6;...;12,5;11,8;9,6;8,7;8,9;8,8;8;9,1;20,1;27,7;17,5;23,1
Turkmenistan;§53;xxx;xxx;xxx;xxx;...;...;19,5;32,6;11,5;24,7;20;25,2;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Uzbekistan;§54;xxx;xxx;xxx;xxx;...;...;3,9;5;7,4;9,2;...;10,3;4,7;2,4;1,8;2,1;...;...;...;...;...;...;...;...;...;...;...;...;...;...;44,9;...;...;...;...;...;...;...
Albania;§¶3;...;...;...;...;9,6;12;15,2;15,6;14,1;9,2;10,4;13,4;14,3;16,9;18,7;24,4;32,5;35,7;46;64,1;85;61,4;63,1;67,7;62,9;61,9;61,3;45,6;45,2;49,8;60,7;68,2;68,3;77,8;80,7;141,8;191;224,2
Bosnia and Herzegovina;†§¶11;xxx;xxx;xxx;xxx;...;...;...;...;...;...;...;...;...;...;57,5;48,3;48;42,1;43,7;48,2;58,6;62;57,2;56,1;53,2;54,4;53,1;45,8;45,2;45,3;50,5;49,1;50,4;64;57,4;67,9;68;73,4
Bulgaria;†13;...;230,4;89,5;26,5;29,6;33,3;28,7;37,1;25,7;29,6;39,2;44,1;43,7;51;57,8;72,6;79,9;86,5;93,3;130,1;153,6;120,5;111,5;102,3;98,2;111,4;103,2;87,8;93,7;101,4;136,4;308,4;160,9;184,4;210,1;292,2;323,5;384,3
Croatia;70;xxx;xxx;xxx;xxx;7,5;121,5;313,1;419;394,2;371,2;299,7;235,9;153,3;145,1;167,5;165,5;168,7;182;191,3;221;288,1;255;227,9;254;223,4;226,3;254,3;212;200,9;221,7;234,9;246,3;247,2;345,5;327,8;361;445;544,3
Czechia;71;xxx;xxx;xxx;xxx;...;79,1;90,9;103,2;109,1;96,1;113,5;117,6;113;115,6;146;184,1;199,2;237,5;238,1;262,4;281,8;261,4;239,2;236;211,4;204,5;192,4;169,2;185,7;198,5;261;282,3;303,3;371,7;369,6;418,9;603,4;660,2
Czechoslovakia;72;...;...;...;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Estonia;‖73;xxx;xxx;xxx;xxx;...;8,6;16,9;24,8;28,7;37,2;42,3;52,5;56;67,4;88,6;124,9;150,2;150,6;175;277,4;322,7;265,5;249,2;293,1;329,6;363,2;389,7;353,2;378,5;411,3;466,4;480,8;541,5;562,7;614,6;904,8;1041,8;1164
German Democratic Republic;74;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Hungary;;98,3;78;81,6;69,6;78,3;71;73,2;59,3;56,7;67,6;60,2;68,7;70,2;83;106,3;138,5;151,8;158,4;140,2;176,9;186,3;147,4;135,2;147,7;133,2;129,2;122,5;115;131,1;174,4;165,2;224,1;283,3;247,7;336,1;450,1;488,4;517,7
Kosovo;;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;0,5;15,1;21,5;28,5;24,1;26,8;29,4;27,8;29,5;32,5;35,7;37,3;45,2;45,3;62,3;77,9;98;139,7
Latvia;‖75;xxx;xxx;xxx;xxx;...;6,8;13,3;17,4;15,4;15,5;17,4;23,6;29,4;36,9;63,4;82,2;100,7;121,1;165;217,9;265,4;168,2;122,4;143,1;125,1;140,1;147,7;142,3;205,4;247,4;366,6;360,3;388,9;434,5;456,1;665,1;766,4;928,9
Lithuania;‖;xxx;xxx;xxx;xxx;...;5,6;5,7;8,4;11,7;21,1;38,8;30,1;40;47,8;52,5;61,4;79,7;90,6;106,9;136;168,5;127,1;103,8;112,9;109,4;119,4;145;161,3;219,9;285,1;376;391,3;420,1;467,3;650,1;795,8;937,8;1035,3
North Macedonia;†77;xxx;xxx;xxx;xxx;...;...;...;...;65,1;41,2;38,9;32,4;34;109,8;51,3;55,7;64,9;60,8;60,3;77,9;83,1;76,9;63,2;64,7;58,7;62,6;61,9;50,3;51,4;52,3;60,8;79,2;77,8;105,6;112,4;152,7;163,9;206,1
Montenegro;76;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;95,9;98,3;101,3;134,4;121,2;118,8;125,6;106,9;102,3;106,7;90,3;98,5;105,7;121,9;120,6;136;150,4;162,9;182;234,8;276,9
Poland;78;47,2;39,4;40,5;45,2;49,3;55,5;58,8;70,9;80,4;83,2;91,1;84,2;82,2;94,9;98,7;108,6;125,1;154,6;173,7;225,8;246;208;231,2;247,7;235;242,5;270,4;266,9;239,4;260,8;314,8;307,9;358,8;400,8;404;681,7;890,2;1218,8
Romania;¶‖;110,8;112,6;75,9;60;36,2;31,6;41,1;43,3;38,7;47,8;56,1;43;42,3;44,8;48,3;57,7;71,2;92,7;106,6;124,5;144,3;107,8;101,7;116,9;104,1;122;134,5;129,5;133,5;184,6;221,9;235,7;259,7;273,9;270,6;293,4;436,1;512,9
Serbia;79;xxx;xxx;xxx;xxx;...;...;...;...;...;117,2;82,5;95,1;43,7;64,4;88,9;96,1;97,5;83,3;93,7;129,6;148,8;131;117,7;133,7;117,7;127,7;126,7;97,2;109,7;113,6;151,1;168,1;184,8;262,6;213,6;264,6;355,6;414,2
Slovakia;‖;xxx;xxx;xxx;xxx;xxx;50,2;56,2;117,7;119,7;93,1;74;60,9;63,6;73,2;81,8;116,1;132,3;153,1;169,5;211,9;262,5;250,9;211,1;197,4;188,9;179;184,3;182;185;193,1;236,3;330,2;361,1;363,8;380,6;417,8;504,8;567,6
Slovenia;‖;xxx;xxx;xxx;xxx;140,8;115,5;119,7;168,3;166;146,5;151,8;139;112;136,6;164,2;209,3;247,4;257,9;304,4;345,2;410,2;393,9;377,9;325,3;264,9;246,6;236,3;194,6;218;229,8;256,7;275,9;274,8;360,8;366,9;429,6;462,7;576,8
Yugoslavia;80;...;...;...;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Armenia;†6;xxx;xxx;xxx;xxx;...;2,8;...;15,7;15,9;19,6;20,7;21,4;21,6;21,3;20,9;25,1;32,4;46,7;62,8;93,9;133,5;121,7;134,4;133,7;130,2;152,1;156,6;153,1;147,7;152,1;176,2;224,3;218,6;215;278,1;457;475,2;582,2
Azerbaijan;‖7;xxx;xxx;xxx;xxx;1,5;10,4;5,8;8,6;9,2;11,7;13,4;14,9;14,7;16,1;16,9;21,1;27,1;35,6;82,9;107,9;180,9;163,7;162,4;334,8;348,6;356,7;358,2;299,2;142,4;154;167;184,2;220,4;264,8;291,6;344,7;366,5;476,4
Belarus;;xxx;xxx;xxx;xxx;...;...;17,3;17,5;18;24,6;22,5;16,5;14;17,8;20,6;23,5;32,2;46,7;65,6;78;92,5;71;80,8;79,8;85,3;101,4;86,8;67,8;76,6;79;97,3;95;91,6;102,3;130,6;152,8;165,5;214,7
Georgia;†§81;xxx;xxx;xxx;xxx;...;...;...;...;13,9;9,3;8,9;5,7;4,3;5,6;8,2;10,4;17,3;53;100,8;234;275,8;153,6;116,2;120,7;127,6;115,6;109,5;79;83,1;84,7;88;81,8;75,8;79,2;106,1;133;141,3;172,8
Moldova;†¶82;xxx;xxx;xxx;xxx;...;...;...;3;3,5;4;2,4;1,4;1,2;1,4;1,7;2;2,3;3;4,2;5,8;9,7;6,7;5;6,4;6,8;7,8;8,2;7;8,4;9,6;11,8;12,8;14;16,6;18,1;29,9;35,8;37,6
Russia;83;xxx;xxx;xxx;xxx;...;52,4;91,5;85,9;106,8;118,8;53,8;43,8;62,8;79,8;95,7;116,2;144,1;188,7;239,2;302,5;390,7;358,3;408;487,9;565,2;611,7;585;457,8;476;458,1;421,3;444,6;422,3;450,9;717,6;749,6;1028,9;1318,4
Ukraine;84;xxx;xxx;xxx;xxx;...;2,9;17,6;20,2;28,5;40,6;27,8;18,8;22,8;22,1;24,1;29,5;35;50,3;63,1;86,8;102,5;73,9;80,1;79,5;89,5;95;86;76,4;74,9;79,8;104,9;138,9;152,6;153,7;942,5;1717,2;1729,9;2197,3
USSR;;...;...;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Austria;;226,2;213,8;258;258,5;274,3;268,3;280,9;321,9;309;271,7;270,9;266,1;240,6;223;233,4;294;329;327,5;319,8;422,5;450,9;400;385,3;407;379;382;388,4;310,4;331,7;359,4;384;376,6;431,4;469,4;401,7;487,3;580,2;696,9
Belgium;;413,6;391;466,9;463,6;412,2;372;390,5;439,1;418,2;362,2;359,5;352,4;312,4;296,1;306,7;375,1;410,7;404,9;410,2;488,5;592,7;524,8;482,9;500,6;466,6;472,6;464,9;374,1;376,5;391,3;424,8;415,5;462,4;540;595,4;652,7;730,5;1236,8
Cyprus;†§;320,6;317,4;525,5;527,1;783,6;328,6;357,2;350;514,1;600,8;533,9;310,5;293,2;337;244,9;290,6;333,6;365,7;364,8;379,6;419,5;428,4;427;421,9;358,6;327,6;299,9;270,8;240,4;286,8;356,7;362,5;373,4;413,6;402;417,7;440,9;486
Denmark;;452,4;425,7;516;519,2;549,7;517,7;523,2;597,8;587,7;531,6;537,5;524,1;448,9;472,1;501,8;594,2;663;640,9;717,9;766,6;874,4;787;813,7;812,6;792,4;752,6;720,9;594,4;629,5;654,7;788,5;772,9;839,3;903;931,3;1372,5;1615,9;2495,2
Finland;85;345,1;356,6;430,5;440,3;412,8;319,6;345,9;374,4;395,1;379,4;380,7;320,7;302,1;285,8;311,7;476,5;555,2;573;595,8;625,5;749,8;742,8;695,3;763,7;730;767;732,1;621,5;622,9;627,7;681,4;658,7;701,6;692,5;802,9;1060,2;1158,7;1437,3
France;101;539,6;524,8;629,3;627,8;660,2;620;644;690,6;668,7;593,4;573,3;555;480,4;468,7;511;638,5;731,9;724;741,1;815,2;887,9;900,2;823,5;852,4;785,9;809,9;824,2;704,4;703,8;735,8;785,2;768,6;813,4;890,1;827,3;897;956,1;1021,1
Germany;;420,9;400,4;499,5;462,6;488;428,9;416,8;471;444,6;377,9;376,8;374,5;323,4;314,2;336,7;400,9;434,5;434,6;437,9;493,5;557,6;551,9;532,6;559,7;541,3;546,9;551;468;483,8;513,2;558,8;587,8;638,8;675,9;670;812,6;1017,2;1345,7
Greece;;270,8;251;311,9;306,1;350,6;323,9;343,6;398,3;437,5;431,7;453;468,4;424,4;410;437,4;462,8;574,4;641,4;692,2;774,5;960;963;734,8;641,4;533,3;513,9;506,8;443,9;460,7;475,8;536,3;502;539,9;777;835,8;678,4;729,2;842,3
Iceland;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ireland;;128,3;123,5;169,4;177,5;190;167,5;176,9;195,2;207,2;209,5;201,1;198,8;184;200,5;208,2;243,7;273,7;278,8;283,2;316,6;355,5;313,3;280,1;284,6;252,2;259,3;257,1;213,1;211,9;214,5;228,7;226,9;230,6;253,4;230,4;245,7;255,1;272,3
Italy;87;305,8;310,4;363,8;378,3;388,5;319,1;315,9;298,1;363,9;352,5;364,1;367,2;347,2;340,7;377;466,3;522,1;509,2;505,3;543,3;620,7;569,8;533,3;561,1;492,7;494,2;447,3;358,7;404;416;459,2;418,6;527,1;586,1;564,1;596,1;636,8;812,5
Luxembourg;88;231,2;202,3;255;280,4;316,4;274;315,1;351;344,1;322;339,6;329,5;295,7;364,7;345,3;442,9;515,6;528,2;526,6;600,4;362,9;373,6;357;382,4;348,8;366,6;298,6;283,1;288;363,7;483,4;528,1;580;556,7;714,5;882,8;924,7;1263,8
Malta;†‖;62,2;58,7;57,8;58,8;71,6;65,4;73,4;81,3;86,2;80;74,1;70,8;63,6;67,6;70,3;83,9;99;127,4;107,2;118,3;134;140,8;139,3;132;117,3;125,8;131,6;117,8;132,5;139,6;140,6;162,6;167,7;168,5;150,7;161;174,5;229,6
Netherlands;;455,3;430,2;495,8;480,1;519,5;460;462,2;515,9;501,8;436,2;433,5;442,3;373,4;384,6;414,2;511,6;571,8;581,6;620;695,5;747,5;729,1;670,7;692,8;613,7;603,6;608;507,9;531,6;555;639,9;686,8;743,4;814,6;766,3;922,6;1297,9;1582,4
Norway;;689,5;694,8;802;773,6;890,1;738,7;786,9;806,8;809,4;740,6;752,7;744,4;652,5;658,6;898,7;992,4;1067,7;1060,5;1080,1;1255,2;1344,9;1291;1337,7;1469,9;1432,9;1463,4;1436;1125,7;1150,3;1303,4;1424,1;1415,6;1346,1;1564,6;1603,3;1603,2;1944,6;3039,8
Portugal;;101,7;110;141,6;160,1;192,1;166,2;164,5;201,3;195,5;178,8;174,1;178,4;162,5;170,1;189,2;226,4;271,9;299,5;300;314,1;351,8;356,9;359,7;363,4;374,5;363;329,4;301,8;312,2;309,8;325,5;319,8;317,7;373,9;334,9;338,3;433,7;562,5
Spain;89;228,8;238,6;299,4;298,7;311,7;253,9;253,8;286,3;281,3;244,6;255;273;251,1;248,5;248,3;305,6;356,1;366,9;389,3;445,1;483,7;433,8;421,6;419,7;400,7;367,1;367,4;325,3;300,2;342,9;379,6;363,9;366,3;418,5;434;518,4;525,9;839,4
Sweden;;584,5;595;723,5;724;742,6;576,6;589,5;649,9;702;588,3;580,1;581,5;540,5;464,7;488,8;593,4;614,4;612,4;616,4;700,8;656,1;547;630,1;671,7;658,4;683,2;679,7;552,6;551,2;553,8;566,5;570,6;607,1;730,5;738,7;835;1138,5;1549,3
Switzerland;†¶90;498,8;465,5;607,7;594,9;604,8;522,8;559,6;661,9;600,3;494;492,4;441,7;390,8;383,7;397,7;447,5;476,2;470,3;446,6;469,8;540,2;527;529;631,8;577,1;625,9;566,6;548,7;548,9;549,6;558,2;587,6;665,8;632,6;646,5;713,7;734,6;848,6
United Kingdom;91;673,5;656;760,4;818,6;791;659,4;665,9;659,3;662,4;683,4;704,4;694;667,4;667,8;744,8;877,2;1004,7;1021,2;1055,9;1198,5;1180,1;1028;1019,6;1052,2;1026,7;994,8;1036,9;921,2;812,4;787,3;838,8;845;867;966,3;942,6;1075,5;1303,1;1283
European Union;†¶103;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;...;...;...;...
Bahrain;8;440,2;446,4;473;502,9;516,9;502,9;498,9;517,8;535,6;522,2;522,1;563,1;542,2;550;614,4;660,2;632,4;569,2;596;626,4;661,1;718,6;693,8;852,9;983,7;1094,8;1149,4;1074,4;1077,6;1048,3;1017,1;1043,1;950,5;966;1054,6;1045,7;871,6;902,8
Egypt;§¶;81,8;62,8;39,3;22,7;23,3;24,5;27;30;31,9;33,5;34,3;34,6;36,3;38,4;38,5;30,9;30,1;33,1;36;39,6;44,4;46,4;49,9;49,6;49,5;46,3;52,7;55,5;44,9;26,9;29,8;35,1;41,5;46,9;41,6;27,9;20,8;21,3
Iran;92;348,2;291,6;286,4;296,2;324,9;23,5;27,8;40,4;56,8;73,4;85,5;102,3;126,4;155,1;47,7;54,6;75,5;95,7;120,5;125,8;147,7;165,6;176,3;183,3;209,1;150,2;122,3;129;147,1;165;137,8;56,8;38,3;64,8;83,9;82;86,6;80,4
Iraq;§¶93;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;22,6;40;42,9;70;109,8;109,5;122,9;135,6;126,3;225,3;192,2;259,1;156,9;190,7;159,1;188,1;136,3;111,9;108,5;128,4;139,1;138,6
Israel;94;1638;1278,6;1476,5;2000,2;1495,1;1543,5;1509,4;1482;1544,1;1517,2;1395,1;1286,8;1360,9;1353,7;1251,2;1261,7;1306,4;1321;1360;1626,7;1943;1765;1880,9;1964,6;1855,1;2049,6;2193,4;2003,5;2040,9;2260,6;2283,5;2306,1;2411,1;2660,2;2525,9;2948,9;4926,2;5107,9
Jordan;†;188,5;117,2;94;113,6;91,5;92,3;91,5;64,3;86,3;89,1;97,2;98,1;99,3;97,2;93,9;107,8;101;101,3;115;152,9;196,8;221,6;216,2;215,9;194,5;190,1;184,8;175,5;178,9;191,6;189,3;192,1;191;198,5;209,1;217;219,7;220,8
Kuwait;95;813,8;954,5;3966,2;11642;3965,7;1776,7;1977,2;2222,1;1905,2;1395,1;1256,6;1221,1;1399,1;1355,2;1386,9;1501,2;1616,5;1609,6;1568,9;1689,4;1717,5;1545,5;1511,8;1786,5;1830,1;1662,4;1625,5;1532;1642,3;1657;1695,2;1668,2;1554,8;2081,3;1879,8;1617,8;1596,7;1622,6
Lebanon;§106;11,5;...;60,2;63,2;119,4;119,7;165,3;190,2;184;166,5;167,4;196,7;216,6;219,6;204,5;205,7;209,2;207,6;214,4;240,2;239,1;287,6;315,5;321,6;342,2;362,7;369,1;342,2;407,2;390,9;456,9;394,7;75,8;30,1;38,2;49,7;109,8;142,2
Oman;‡96;743,7;717,7;841,8;694,1;800,6;726,7;737,2;720,3;671,8;681,6;597,3;598,9;695,5;792,5;804;837,9;938,3;1126,1;1215,2;1276,2;1332,7;1268,3;1352,6;1785,6;2759;2343,1;2091,8;1847,2;1849,3;1515;1650,2;1420,7;1333,5;1292,8;1277,5;1186,2;1159,4;1109,4
Qatar;§102;2431,4;2027,8;1826,9;2001,5;...;...;...;...;...;...;...;...;...;...;1095,8;1077,9;1014,3;1130,3;1231,2;1446,4;1733,2;1284,6;1133,8;...;...;...;...;...;...;...;...;...;...;4154,2;5428,3;...;...;...
Saudi Arabia;97;1423,1;1291,2;1575,3;1500,7;1344,7;1376,6;1144,1;1013,9;983,8;1285,4;1424,2;1205,5;1267,8;1266;1058,8;1021,8;1087,6;1262,5;1408,1;1618,8;1674,6;1737,5;1832,9;1893,6;2125,4;2433,3;2832,7;2956,9;2090,1;2273,1;2438,8;2168,9;2095,4;2027,2;2252,6;2366;2386,4;2427,6
Syria;§;321,4;123,8;132,6;226,4;225,8;104,9;116,9;66,4;67,2;68,8;70,2;70,4;54,6;60,7;63,9;81,2;76,7;78,1;75,3;79,1;80,4;100,4;105,5;109,7;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Turkey;‖105;49,9;62;95,8;100,3;107,1;121;88,9;109,1;122,2;124,9;138,7;155,1;153,7;109,6;135,8;152,4;160,1;175,2;187,1;212,9;236,4;222,8;242,1;230,5;237;243,3;228,1;198,3;220,1;214;234,2;240,9;184,4;176,3;173,1;220,6;286,3;342,4
United Arab Emirates;§98;...;...;...;...;...;...;...;...;...;1232,4;1369,6;1342,7;1738,8;1607,1;1394,5;1432,1;1581,4;1452,3;1498,3;1616;1924,3;2099;2565,9;2719;2590,3;3079,9;2839,5;...;...;...;...;...;...;...;...;...;...;...
Yemen, North;§100;...;...;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx;xxx
Yemen;§99;xxx;xxx;59,3;72,6;88,9;100,5;148,4;49;24,4;22,6;21,2;21,1;24,5;27,1;35,9;38,2;33,8;36,4;35,5;43,9;48,4;55,7;55;59,3;57,8;57,1;57,6;...;...;...;...;...;...;...;...;...;...;...
