Entity;Code;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Liberia;25;10,4;...;...;13,2;11,2;14,3;18;...;...;...;...;...;...;...;...;...;1,5;2;1,1;0,8;1,3;1,7;2,2;3;3,5;3,4;3,2;3,2;3,1;2,8;2,7;2,6;2,5;5,7;9,8;11,5;6,1
Madagascar;?26;2,9;2,6;3,2;2,8;1,8;2,9;2,1;2;3,5;3,6;3,3;2,9;2,9;3,9;3,3;4,1;3;2,9;2,8;4,1;5;3,3;2,6;3,2;3;3;2,9;2,3;2,3;2,5;2,7;2,7;3,1;3,4;3,3;3,3;3,9
Malawi;;2,4;2,5;2,6;2,4;2,5;2,5;1,7;1,1;2;2,5;1,4;1,3;1;1,1;1,3;1,1;1,8;3;2,4;2,5;3,2;4,1;3,4;3,5;3;3,9;3;2,4;2,1;2,7;3,2;4,5;5,1;4,7;5,8;7,2;5,5
Mali;�;5,5;5,2;5,7;...;...;4,6;3;4;3,9;3,8;3,8;4;3,8;3,8;4,1;5,3;6;6,5;7;7,8;9,7;9,5;9,4;9,9;8,9;9;12,3;16,9;19,2;23,6;23,9;22,9;27,8;29,6;25,6;33,5;38,5
Mauritania;�;23,5;20,6;20,9;19,9;19,3;14,1;13,3;14;16,2;17,5;10,5;12,8;14,7;19,6;13,4;22,5;...;23;27,5;...;39,4;35,5;...;...;40;39,2;38,2;34;33,8;34,7;37,2;36,9;43,8;49,5;46,9;56;51
Mauritius;�;4,4;5,9;8,5;9,6;10,3;9,6;10,4;11,7;11,1;8,3;7,1;7,5;7,7;7,3;7,7;8,8;8,8;8,7;8,6;9,2;12,2;12;11,6;13,6;12,9;18;15,3;13,2;17;17,5;17,8;17,2;14,4;15,8;14;15,6;18,1
Mozambique;?27;5;6,2;6,5;5,4;4,4;4,3;5,1;2,1;2,2;2,5;2,9;3,2;3,1;2,8;2,9;3,1;4;3,1;2,8;3,3;3,9;3,8;4,4;5,1;5,8;6,4;6,8;5,1;4,1;4,7;6,9;7,4;9,5;9,9;13;12,2;13,2
Namibia;;...;...;116,7;103,9;86,6;47,2;37,2;43,2;40,9;50,2;46,1;60,3;51,4;52,6;46,9;68;86,5;98,3;100,8;113,8;131;145,3;189,5;208,6;190,3;175,4;235,5;221,3;176,8;184,5;179,3;158,5;137;144,5;128,2;115,9;120,9
Niger;;...;...;...;...;...;...;1,9;1,9;1,8;1,7;2,1;2,2;1,8;2,1;1,7;2;2,4;2,4;...;...;3,6;3,4;4,1;5;8,5;5,8;7,7;...;8,2;9,5;10,5;11;10,2;8,4;9,7;12,9;16,4
Nigeria;�28;3;1,8;2,9;2,5;1,7;2,8;3;5,8;6,2;7,1;9,7;4;3;4,5;6,8;4,3;4,6;4,7;5,3;6,4;10,4;9,4;12,1;14,1;13,3;13,5;12,9;11;8,9;8,2;10,1;9;12,1;20,7;14,1;13,8;4,9
Rwanda;29;5,3;5,9;13;14,1;11,7;11,5;4,9;10,5;12,4;10,4;10,8;10;7,5;6,9;6,1;5,3;4,7;5;5,9;5,9;7;7,6;7,3;7,2;7,5;7,5;8,1;9;9,1;9,6;9,6;9,8;11,4;12,7;13,1;13;12,5
Senegal;�30;14,7;13,5;15,5;14;13,6;14,5;7,8;9,3;8,9;7,7;8;8,1;6,3;6,8;7,2;9,1;9,9;11,2;13,1;16,6;18,2;17,6;15,7;18;15;17,5;17,2;14,9;20,6;20;24,5;22,1;20,9;28,4;24,1;25,1;28,2
Seychelles;�;168,7;178,6;200,5;223,8;273,3;170,4;154,4;148,6;133,5;144,3;131,8;136,9;124,4;131,7;137,6;142,3;181;165,5;159,6;166,8;120,9;93;76,1;90,8;101,3;136,3;300,1;170,8;201,1;200,8;189,1;202,6;163,1;328,7;197,6;261,6;208,2
Sierra Leone;31;2,3;3,6;3;5,4;6,4;5,6;6,4;6;4,5;2,2;2,3;3,9;5,4;6,6;5,6;5,6;4,4;4,3;5;5,1;4,1;4,4;4,1;4;4,6;4,8;7,2;5,6;5,3;5,4;4;3,2;4,2;5,4;5,1;4,5;4,3
